===============================================================================
Id,BTCUSD_Weekly,len,datetime,open,high,low,close,volume,openinterest,adjclose,BTC_Gtrends,len,datetime,open,high,low,close,volume,openinterest,BtcSentiment,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,BTCUSD_Weekly,BTC_Gtrends
1,BTCUSD_Weekly,1,2018-01-04 23:59:59.999989,15270.7,17712.4,13691.2,14973.3,133379399680.0,0.0,14973.299805,BTC_Gtrends,0,,,,,,,,BtcSentiment,1,736698.9999999999,Broker,1,10000.0,10000.0,BuySell,1,,,BuySell,1,,,DataTrades,1,,
2,BTCUSD_Weekly,1,2018-01-04 23:59:59.999989,15270.7,17712.4,13691.2,14973.3,133379399680.0,0.0,14973.299805,BTC_Gtrends,1,2018-01-07 23:59:59.999989,0.0,0.0,0.0,40.0,0.0,0.0,BtcSentiment,2,736701.9999999999,Broker,2,10000.0,10000.0,BuySell,2,,,BuySell,2,,,DataTrades,2,,
3,BTCUSD_Weekly,2,2018-01-11 23:59:59.999989,14968.2,15018.8,9402.29,11188.6,102882699264.0,0.0,11188.599609,BTC_Gtrends,1,2018-01-07 23:59:59.999989,0.0,0.0,0.0,40.0,0.0,0.0,BtcSentiment,3,736705.9999999999,Broker,3,10000.0,10000.0,BuySell,3,,,BuySell,3,,,DataTrades,3,,
4,BTCUSD_Weekly,2,2018-01-11 23:59:59.999989,14968.2,15018.8,9402.29,11188.6,102882699264.0,0.0,11188.599609,BTC_Gtrends,2,2018-01-14 23:59:59.999989,0.0,0.0,0.0,51.0,0.0,0.0,BtcSentiment,4,736708.9999999999,Broker,4,10000.0,10000.0,BuySell,4,,,BuySell,4,,,DataTrades,4,,
5,BTCUSD_Weekly,3,2018-01-18 23:59:59.999989,11198.8,13103.0,10129.7,11359.4,77636679680.0,0.0,11359.400391,BTC_Gtrends,2,2018-01-14 23:59:59.999989,0.0,0.0,0.0,51.0,0.0,0.0,BtcSentiment,5,736712.9999999999,Broker,5,10000.0,10000.0,BuySell,5,,,BuySell,5,,,DataTrades,5,,
6,BTCUSD_Weekly,3,2018-01-18 23:59:59.999989,11198.8,13103.0,10129.7,11359.4,77636679680.0,0.0,11359.400391,BTC_Gtrends,3,2018-01-21 23:59:59.999989,0.0,0.0,0.0,34.0,0.0,0.0,BtcSentiment,6,736715.9999999999,Broker,6,10000.0,10000.0,BuySell,6,,,BuySell,6,,,DataTrades,6,,
7,BTCUSD_Weekly,4,2018-01-25 23:59:59.999989,11421.7,12040.3,9777.42,10221.1,58339379200.0,0.0,10221.099609,BTC_Gtrends,3,2018-01-21 23:59:59.999989,0.0,0.0,0.0,34.0,0.0,0.0,BtcSentiment,7,736719.9999999999,Broker,7,10000.0,10000.0,BuySell,7,,,BuySell,7,,,DataTrades,7,,
8,BTCUSD_Weekly,4,2018-01-25 23:59:59.999989,11421.7,12040.3,9777.42,10221.1,58339379200.0,0.0,10221.099609,BTC_Gtrends,4,2018-01-28 23:59:59.999989,0.0,0.0,0.0,36.0,0.0,0.0,BtcSentiment,8,736722.9999999999,Broker,8,10000.0,10000.0,BuySell,8,,,BuySell,8,,,DataTrades,8,,
9,BTCUSD_Weekly,5,2018-02-01 23:59:59.999989,10237.3,10288.8,6048.26,7621.3,69478010368.0,0.0,7621.299805,BTC_Gtrends,4,2018-01-28 23:59:59.999989,0.0,0.0,0.0,36.0,0.0,0.0,BtcSentiment,9,736726.9999999999,Broker,9,10000.0,10000.0,BuySell,9,,,BuySell,9,,,DataTrades,9,,
10,BTCUSD_Weekly,5,2018-02-01 23:59:59.999989,10237.3,10288.8,6048.26,7621.3,69478010368.0,0.0,7621.299805,BTC_Gtrends,5,2018-02-04 23:59:59.999989,0.0,0.0,0.0,43.0,0.0,0.0,BtcSentiment,10,736729.9999999999,Broker,10,10000.0,10000.0,BuySell,10,,,BuySell,10,,,DataTrades,10,,
11,BTCUSD_Weekly,6,2018-02-08 23:59:59.999989,7637.86,9518.54,7637.86,9494.63,49897700352.0,0.0,9494.629883,BTC_Gtrends,5,2018-02-04 23:59:59.999989,0.0,0.0,0.0,43.0,0.0,0.0,BtcSentiment,11,736733.9999999999,Broker,11,10000.0,10000.0,BuySell,11,,,BuySell,11,,,DataTrades,11,,
12,BTCUSD_Weekly,6,2018-02-08 23:59:59.999989,7637.86,9518.54,7637.86,9494.63,49897700352.0,0.0,9494.629883,BTC_Gtrends,6,2018-02-11 23:59:59.999989,0.0,0.0,0.0,23.0,0.0,0.0,BtcSentiment,12,736736.9999999999,Broker,12,10000.0,10000.0,BuySell,12,,,BuySell,12,,,DataTrades,12,,
13,BTCUSD_Weekly,7,2018-02-15 23:59:59.999989,9488.32,11958.5,9395.58,10690.4,60747559936.0,0.0,10690.400391,BTC_Gtrends,6,2018-02-11 23:59:59.999989,0.0,0.0,0.0,23.0,0.0,0.0,BtcSentiment,13,736740.9999999999,Broker,13,10000.0,10000.0,BuySell,13,,,BuySell,13,,,DataTrades,13,,
14,BTCUSD_Weekly,7,2018-02-15 23:59:59.999989,9488.32,11958.5,9395.58,10690.4,60747559936.0,0.0,10690.400391,BTC_Gtrends,7,2018-02-18 23:59:59.999989,0.0,0.0,0.0,20.0,0.0,0.0,BtcSentiment,14,736743.9999999999,Broker,14,10000.0,10000.0,BuySell,14,,,BuySell,14,,,DataTrades,14,,
15,BTCUSD_Weekly,8,2018-02-22 23:59:59.999989,10660.4,11089.8,9407.06,10397.9,49594509824.0,0.0,10397.900391,BTC_Gtrends,7,2018-02-18 23:59:59.999989,0.0,0.0,0.0,20.0,0.0,0.0,BtcSentiment,15,736747.9999999999,Broker,15,10000.0,10000.0,BuySell,15,,,BuySell,15,,,DataTrades,15,,
16,BTCUSD_Weekly,8,2018-02-22 23:59:59.999989,10660.4,11089.8,9407.06,10397.9,49594509824.0,0.0,10397.900391,BTC_Gtrends,8,2018-02-25 23:59:59.999989,0.0,0.0,0.0,16.0,0.0,0.0,BtcSentiment,16,736750.9999999999,Broker,16,10000.0,10000.0,BuySell,16,,,BuySell,16,,,DataTrades,16,,
